video_id,titulo,canal,categoria_estimulacion,tipo_produccion,formato,fuente_etiqueta,url,duracion_analizada_seg,cortes_por_minuto,duracion_promedio_escena,magnitud_movimiento_promedio,variabilidad_movimiento,luminosidad_promedio,variabilidad_luminosidad,contraste_promedio,variabilidad_contraste,saturacion_promedio,variabilidad_saturacion,flicker_promedio,destellos_por_minuto,riqueza_cromatica,densidad_bordes_promedio,energia_audio_promedio,variabilidad_audio,tempo_bpm,onsets_por_minuto,brillo_espectral_promedio
YHTo9KTeNFM,Daniel Tigre en Español 🐯🥳 Décimo aniversario - cuentos de tigres 🎊🎉,Daniel Tigre en Español - Scholastic,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=YHTo9KTeNFM,120.08,5.5,10.01,0.2172,0.4917,196.59,12.91,52.93,6.72,104.17,9.29,0.2882,5.0,24.48,9.82,0.0388,0.0271,123.05,195.0,2538.35
vFWTKa7BpJ4,Daniel Tigre en Español - Daniel y Margaret visitan la granja (Episodios Completos),Daniel Tigre en Español - Scholastic,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=vFWTKa7BpJ4,120.08,16.49,3.53,1.2609,1.7393,176.88,23.88,50.12,7.25,142.47,26.04,0.8083,16.99,23.24,11.74,0.0435,0.0205,117.45,142.0,2240.6
Q4yVTptgQ5A,Daniel Tigre en Español 🌿🌲 Daniel explora la naturaleza y El paseo de Daniel (Episodios Completos),Daniel Tigre en Español - Scholastic,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=Q4yVTptgQ5A,120.08,12.99,4.45,1.2986,1.6947,172.77,22.87,48.44,7.53,144.8,25.05,0.7563,14.99,22.97,11.58,0.0466,0.0229,117.45,149.5,2423.4
Ki1UfALLmks,"Pintura de huevos, conejitos + ¡Más! | Felices Pascuas | Daniel Tigre en Español",Daniel Tigre en Español - Scholastic,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=Ki1UfALLmks,120.08,8.99,6.32,0.505,0.8969,181.45,16.48,50.45,5.35,123.64,24.58,0.4134,9.99,24.17,12.49,0.0373,0.0239,117.45,193.0,2325.98
N6QsZJO8AdY,Daniel Tigre en Español 🎂🥞 ¡Hornea y Cocina Conmigo! | Videos para Niños,Daniel Tigre en Español - Scholastic,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=N6QsZJO8AdY,120.08,5.5,10.01,0.7413,0.9538,174.95,15.9,51.9,6.36,129.44,27.05,0.5554,5.0,23.22,10.52,0.0407,0.0223,123.05,200.0,2257.76
lUZ2C_La8gM,😱 ¿Pocoyó se Encontró con un Monstruo? 🦖 👾 ¡Qué Miedo! | Pocoyó 🇪🇸 Español - Canal Oficial,Pocoyó 🇪🇸 Español - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=lUZ2C_La8gM,120.0,10.5,5.45,0.3018,0.9215,234.05,18.73,34.41,28.96,45.78,29.64,0.206,2.0,15.17,2.28,0.0368,0.0295,107.67,92.0,1979.06
9lu5xgcbBN8,😱 ¡¿PATO SE HA CONVERTIDO EN AGENTE SECRETO?! 🕵️ | ¿Cuál Será Su Misión? | Pocoyó 🇪🇸 Español,Pocoyó 🇪🇸 Español - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=9lu5xgcbBN8,120.0,7.0,8.0,0.3523,0.8699,228.75,21.26,34.88,13.31,58.99,24.63,0.2661,1.5,17.18,4.03,0.0363,0.0274,129.2,136.5,2374.69
jsNNM3w-Xyk,¡Las Mejores BROMAS De Pocoyó! 😂🚀 | ¡Ríe Sin Parar! | Pocoyó 🇪🇸 Español,Pocoyó 🇪🇸 Español - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=jsNNM3w-Xyk,120.0,10.0,5.71,0.3393,1.4623,241.19,9.85,27.23,11.88,36.67,29.51,0.2029,3.0,14.06,1.91,0.0365,0.0243,112.35,174.5,2065.97
ctMNvLuhllY,🏠 ¡En la CASA de Pocoyó TODO ES POSIBLE! 🎉 ¡La Fiesta No Va a Parar! | Pocoyó 🇪🇸 Español | Dibuj,Pocoyó 🇪🇸 Español - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=ctMNvLuhllY,120.04,8.5,6.67,1.0158,1.9217,234.2,14.39,25.08,6.85,69.98,36.69,0.3248,2.5,19.22,4.51,0.1371,0.0684,107.67,218.5,1887.64
EjUPcsL2tNE,😳 ¡EL Marciano ATACA DE NUEVO! 🟢 👽 ¿Podrá Pocoyó Salvar El Día? | Pocoyó 🇪🇸 Español,Pocoyó 🇪🇸 Español - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=EjUPcsL2tNE,120.04,5.0,10.91,0.1967,0.7337,239.42,18.65,26.67,14.98,31.56,28.9,0.1786,1.5,13.74,2.04,0.0349,0.0244,123.05,180.5,2475.77
wOnvAgzllW4,😱 ¡Pocoyó No Quiere Ir al Cole! 🏫📚 ¿Lograrán Convencerlo? | Pocoyó 🇪🇸 Español,Pocoyó 🇪🇸 Español - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=wOnvAgzllW4,120.0,0.5,60.0,0.3229,0.5965,245.1,4.33,22.39,6.31,28.28,12.08,0.1009,0.5,14.02,2.05,0.1083,0.0794,112.35,195.5,2619.89
8ONqDtJwiGg,¡Formula Vamoosh! 🏎️💨 ¿Quién Ganará La Carrera!? | Pocoyó Español 🇪🇸 | Dibujos Animados,Pocoyó 🇪🇸 Español - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=8ONqDtJwiGg,120.0,13.0,4.44,0.6913,1.1638,202.13,33.89,54.91,18.55,56.28,39.15,0.7425,11.0,17.66,2.85,0.1397,0.0543,117.45,233.0,2159.86
XFF_5ftPaq8,¿Quien Ganara El Torneo De Ping Pong? 🏓 🏆  ¡Sé un campeón! | Pocoyó 🇪🇸 Español - Canal Oficial,Pocoyó 🇪🇸 Español - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=XFF_5ftPaq8,120.0,14.0,4.14,0.4018,1.4012,235.49,18.24,29.99,14.32,50.56,39.86,0.3927,10.0,14.22,2.24,0.0341,0.0223,112.35,133.5,2505.98
PP_xYytbvcg,¡Pocoyó y sus amigos SE VAN A NADAR! 🏊‍♂️💦 | Pocoyó 🇪🇸 Español - Canal Oficial,Pocoyó 🇪🇸 Español - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=PP_xYytbvcg,120.0,10.5,5.45,0.4492,0.8663,234.3,9.94,32.71,10.64,37.65,20.99,0.3008,2.5,17.99,3.7,0.0389,0.0231,143.55,200.0,2513.28
IcX7OTdQuW4,¿¡La Casa De Pocoyó Se Ha Vuelto Loca!? 🏠 🤪| Pocoyó Español 🇪🇸 | Dibujos Animados,Pocoyó 🇪🇸 Español - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=IcX7OTdQuW4,120.0,17.5,3.33,0.4645,1.3057,228.79,18.13,27.58,7.3,85.32,50.75,0.3895,8.0,17.85,3.24,0.0844,0.0736,123.05,149.0,1860.84
zFK9E2FpMxY,Puffin Rock - Cantemos hoy con los amigos,Miguel Toledo,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=zFK9E2FpMxY,86.53,10.4,5.41,0.3661,0.8174,170.51,27.22,44.43,10.92,129.59,27.99,0.3388,6.93,20.03,8.48,0.101,0.0484,103.36,145.6,1903.64
0JxzhxrnPGU,"Adventures with Oona, Baba, & Friends! 🐧 🌈 Puffin Rock | Netflix Jr",Netflix Jr.,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=0JxzhxrnPGU,120.03,8.5,6.67,0.4749,1.486,136.29,19.74,50.96,11.8,66.05,22.51,0.2764,5.0,21.01,5.44,0.0283,0.022,129.2,184.5,2121.31
W42laLTF8QM,30 Minutes of Oona ADVENTURES with Friends! 🐧💫❄️ | Puffin Rock | Netflix Jr,Netflix Jr.,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=W42laLTF8QM,120.0,10.0,5.71,0.2897,0.8759,115.73,27.29,53.22,10.18,42.06,11.34,0.2931,7.0,22.55,6.32,0.032,0.0278,117.45,173.0,2355.6
kclsEQ_KPNI,Puffin Rock La película: Y los nuevos amigos (Parte 1) Español latino,MateoM Entertainment,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=kclsEQ_KPNI,120.03,7.0,8.0,0.3989,0.8292,76.71,63.0,63.42,37.48,41.64,37.39,0.5519,5.5,15.0,3.01,0.2679,0.1461,117.45,76.0,1646.07
0dhQIS9wPvA,"21 mins of fun with Oona, Baba & Friends! | Puffin Rock | CBeebies",CBeebies,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=0dhQIS9wPvA,120.04,8.5,6.67,0.6056,1.7003,122.78,23.54,44.78,6.06,134.26,24.45,0.3296,6.5,15.65,6.94,0.0439,0.0392,129.2,191.5,2513.18
Rj5tiHa2Vp4,EPISODIOS COMPLETOS de la Temporada 2 de Bluey 💙 | 40 MINUTOS ⭐️ | Bluey Español Canal Oficial,Bluey - Español Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=Rj5tiHa2Vp4,120.0,11.5,5.0,0.2362,0.6382,218.86,14.85,37.8,10.61,80.24,13.88,0.1819,2.0,21.57,10.81,0.0441,0.0305,112.35,225.5,2328.16
WnLLkEiS-xs,Puffin Rock theme song (Latin Spanish) Eureka tu canal airing,鳳凰 67,Baja/Moderada Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=WnLLkEiS-xs,41.07,5.84,8.21,0.5584,1.0477,175.45,37.85,38.31,10.11,115.35,28.59,0.872,5.84,19.55,5.97,0.0501,0.028,152.0,172.36,2419.74
GNL3dnUiT7c,🔴EN VIVO: Explora los grandes espacios con Bluey 🏕️ | 60 MINUTOS | Bluey Español Canal Oficial,Bluey - Español Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=GNL3dnUiT7c,120.03,14.0,4.14,0.5216,1.0969,194.48,13.59,51.99,7.42,79.21,9.77,0.25,4.0,24.53,10.25,0.031,0.0213,123.05,204.0,2429.43
yzwhGvyYrnk,Diversión con la comida 🌭 | Episodios completos | Bluey Español Canal Oficial,Bluey - Español Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=yzwhGvyYrnk,120.08,10.99,5.22,0.2641,0.5591,178.29,33.45,52.27,13.57,119.75,13.99,0.2643,4.5,22.59,8.99,0.0238,0.0163,123.05,231.0,2599.86
DVIG-uJSAnM,Daniel Tigre en Español - Bebé Margaret es Mi Mejor Amiga! | Videos para Niños,Daniel Tigre en Español - Scholastic,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=DVIG-uJSAnM,120.08,3.0,17.15,0.5234,0.7291,170.26,9.99,43.26,4.09,157.42,9.79,0.263,2.5,21.85,9.25,0.0352,0.0196,129.2,196.0,2737.16
b2ukQ_KUrmo,Los Cuentos de Peppa la Cerdita 🫣 Jugando a las escondidas 👀 NUEVOS Episodios de Peppa Pig,Peppa Pig Español Latino - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=b2ukQ_KUrmo,120.0,14.0,4.14,0.6835,1.1508,216.62,7.25,35.49,8.04,114.74,9.94,0.2686,1.5,23.65,7.79,0.1007,0.0604,112.35,192.5,2427.59
xT95mN6dzMU,Los Cuentos de Peppa la Cerdita 😱 Ajetreo Matutino 🎒 NUEVOS Episodios de Peppa Pig,Peppa Pig Español Latino - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=xT95mN6dzMU,120.04,2.0,24.01,1.3876,1.8658,222.3,8.07,38.9,8.33,114.45,14.85,0.3021,0.5,22.11,8.31,0.0733,0.0433,117.45,189.5,2298.15
jEJ9wBi2jFs,¡Peppa Pig y George aprenden a hacer HULA HOOP! 🌀🎵 | Nuevos Episodios Completos,Peppa Pig Español Latino - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=jEJ9wBi2jFs,120.02,9.0,6.32,0.6787,1.1136,221.44,4.37,26.77,6.9,120.77,17.74,0.183,0.0,22.04,6.92,0.0409,0.0256,123.05,138.0,2483.17
-kygIX-R6Xc,¡Peppa Pig conoce animales MARINOS! 🐡🌊 | Los Cuentos de Peppa la Cerdita,Peppa Pig Español Latino - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=-kygIX-R6Xc,120.0,9.0,6.32,0.6349,1.4208,185.49,20.49,44.43,8.13,101.45,25.65,0.3254,5.0,23.35,8.13,0.0401,0.0323,129.2,191.0,2244.17
CpySYla0JiI,¡Peppa Pig va al CLUB DE DESAYUNO ESCOLAR! 🍳😋 | Nuevos Episodios Completos,Peppa Pig Español Latino - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=CpySYla0JiI,120.0,11.0,5.22,0.2908,0.7338,213.52,7.79,42.67,10.65,113.94,8.1,0.2011,2.5,23.3,8.01,0.0352,0.021,107.67,177.5,2903.26
KoYSd5gz6oc,Los Cuentos de Peppa la Cerdita 🤫 El Túnel Secreto 🔒 NUEVOS Episodios de Peppa Pig,Peppa Pig Español Latino - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=KoYSd5gz6oc,120.04,15.0,3.87,0.7075,1.5158,202.07,25.39,40.66,11.06,122.95,30.89,0.4357,9.0,20.42,7.55,0.0699,0.0439,107.67,190.5,2377.33
qL57q4Y6s34,Los Cuentos de Peppa la Cerdita 🔥 Pequeño Restaurante 🧑‍🍳 NUEVOS Episodios de Peppa Pig,Peppa Pig Español Latino - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=qL57q4Y6s34,120.0,20.0,2.93,0.7479,1.775,225.01,6.76,30.22,8.15,88.01,16.62,0.3421,2.5,23.09,9.88,0.0662,0.0453,117.45,185.5,2606.91
4ui_UPcxSKs,¡Peppa Pig regresa de su CRUCERO de vacaciones! ☀️🚢 | Nuevos Episodios Completos,Peppa Pig Español Latino - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=4ui_UPcxSKs,120.04,11.5,5.0,0.3222,0.7989,193.95,32.08,57.46,13.65,100.04,16.58,0.335,3.5,22.6,8.07,0.0378,0.0235,112.35,211.0,2390.21
N1vyMJi90WY,¡Peppa Pig VS su prima Chloe: Batalla de BAILE en el ARCADE! 🕹️🎶 | Cuentos de Peppa,Peppa Pig Español Latino - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=N1vyMJi90WY,120.0,14.5,4.0,0.7137,1.6006,212.66,9.0,37.29,6.62,117.19,16.29,0.2398,4.0,22.56,9.35,0.0523,0.0414,123.05,209.0,2491.83
iV1OVlRQDuI,¡Peppa Pig tiene un COCHE ELÉCTRICO NUEVO! 🚗⚡ | Nuevos Episodios Completos,Peppa Pig Español Latino - Canal Oficial,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=iV1OVlRQDuI,120.04,6.0,9.23,0.3687,0.6009,232.86,8.24,24.51,4.81,107.84,11.88,0.1327,0.5,20.05,4.82,0.0336,0.0239,112.35,152.0,2616.67
